ticker,date,pattern,status,rs_1m_pct,rs_3m_pct,rs_6m_pct
CRC,2018-05-04,CPH,OK,47.371428571428574,12.37472766884531,133.81686310063463
ICHR,2018-05-09,UDS,OK,0.9278785322648586,-14.321518080916572,-19.61706415854887
CVNA,2018-05-10,UTU,OK,3.252710592160124,33.910221741481884,51.34474327628362
OMER,2018-05-11,U,OK,9.952283571915466,15.296640457469612,14.559659090909083
WTI,2018-08-02,UTU,OK,-1.881331403762665,0.5934718100890191,40.08264462809918
PS,2018-08-02,UDS,insufficient_history,,,
VCEL,2018-08-07,UDS,OK,0.990099009900991,-19.047619047619047,43.661971830985905
DDD,2018-08-08,U,OK,-9.713905522288746,23.028105167724398,39.89690721649486
AAOI,2018-08-08,DT SW,OK,-17.86896095301126,5.977796754910325,11.400359066427267
PTCT,2018-08-08,UT,OK,2.188417400587128,26.620370370370374,54.39516129032258
PRLB,2018-10-25,DT,OK,-28.11475409836065,-16.59839063643013,-8.31523924406915
SHOP,2018-10-25,UDS,OK,-24.107752467258393,-28.198954724293845,-1.5142972211035
BZUN,2018-08-14,UDS,OK,-13.11799604482532,9.741881765195659,52.41399248337668
VICR,2018-10-17,DT,OK,-26.423777564717167,-25.35019455252918,26.217105263157904
TSLA,2018-10-25,SW,OK,-4.1498056413834306,-5.9188095855365885,1.057692307692304
IRDM,2018-10-25,UTU,OK,-12.796208530805696,1.377410468319562,46.031746031746025
AXGN,2018-10-30,DT,OK,-12.808683853459968,-28.480801335559256,-16.21903520208604
MEDP,2018-10-30,DT,OK,-21.59906526456351,-23.464233338764874,22.990311599895264
CHGG,2018-10-30,DT,OK,-19.13471684839958,-17.003610108303256,4.16855459900316
DAN,2018-10-29,DT,OK,-11.636556854410207,-21.630537229029223,-29.919932574799834
STAA,2018-11-01,DT,OK,-10.688042752171,3.5096774193548397,89.645390070922
TREE,2018-11-01,DT,OK,-6.6379669490348565,-19.43678849610545,-22.112376906738753
FND,2018-11-01,DT,OK,-11.026086956521741,-35.28965342777638,-45.06013745704468
ARCB,2018-11-02,DT,OK,-23.428097115584144,-20.474137931034488,9.171597633136109
BLDR,2018-11-02,DT,OK,-8.016877637130804,-25.850340136054427,-29.60172228202368
NIO,2018-11-06,DT,insufficient_history,,,
XNCR,2018-11-06,UDS,OK,7.857142857142851,-7.088358355894664,28.183361629881155
EXEL,2018-11-02,DT,OK,-17.76677667766777,-27.49757516973812,-33.4075723830735
CZR,2018-11-02,DT,OK,-14.244186046511631,-5.3475935828877,-24.680851063829788
CRC,2018-11-02,DT,OK,-37.10226135681409,-8.898550724637676,-0.4749841671944255
ACAD,2018-11-07,DT SW,OK,3.6475603979156723,56.06276747503567,17.761033369214218
SUPN,2018-11-07,UDS,OK,-11.36412002553735,-14.476386036960998,-13.138686131386867
GRPN,2018-11-07,DT,OK,-13.984168865435354,-26.24434389140272,-33.19672131147541
ETSY,2018-11-07,UDS,OK,-5.9548732263317135,-6.23840445269016,34.81160386795599
RPD,2018-11-07,UDS,OK,-5.577464788732389,4.782744607689926,5.5083412023922085
VNDA,2018-11-08,UDS,OK,-10.346339324857512,-5.104408352668221,27.414330218068518
TWLO,2018-11-07,UDS,OK,-4.143609124038338,-3.858129145796685,35.508490746040835
FOSL,2018-11-08,DT,OK,-3.141115799343641,-16.79420056383406,9.485956544780061
LGND,2018-11-08,DT,OK,-30.6998894463815,-32.17644610903039,-5.111783884489984
CARG,2018-11-08,UDS,OK,-12.36077746232801,-26.555636896046853,20.40204020402041
HRI,2018-11-08,DT,OK,-25.514849338825062,-33.961176244474345,-38.52209697620326
CVNA,2018-11-08,UDS,OK,-9.894613583138167,-9.665427509293679,72.4047796863331
VSTM,2018-11-08,DT,OK,-14.72303206997083,-32.52595155709342,33.86727688787185
HUYA,2018-11-13,DT,OK,-18.895221394125382,-32.971014492753625,-2.631578947368418
HTZ,2018-11-09,DT SW,OK,7.880794701986749,-16.46153846153846,-7.86199095022625
CDNA,2018-11-09,UTU,OK,23.28888888888889,63.272513243084184,152.87146763901544
GDS,2018-11-13,DT,OK,-16.781193490054235,-25.09765624999999,-36.348547717842315
OPK,2018-11-12,DT SW,OK,-12.711864406779661,-45.017793594306056,-4.037267080745355
BZUN,2018-11-21,DT,OK,-27.589521749579426,-45.62353365818444,-46.83253926239633
CSIQ,2018-11-15,DT SW,OK,-9.564643799472295,4.576659038901609,-21.432664756446982
MTSI,2018-11-14,DT SW,OK,-3.258785942492015,-27.62906309751434,-34.402079722703625
VIPS,2018-11-15,DT,OK,-4.634581105169355,-25.174825174825187,-55.96707818930042
NTNX,2018-11-28,DT SW,OK,13.963838664812233,-32.33691164327003,-24.673653245081816
WGO,2018-12-19,DT,OK,-23.02352487466255,-44.78561549100968,-50.53283767038415
ANF,2018-11-29,DT,OK,-12.653061224489793,-37.10506980161645,-28.21802935010482
AMD,2019-01-30,DT SW,OK,10.062893081761025,-0.10378827192526474,1.6367476240760181
STNG,2019-02-14,DT SW,OK,-8.041237113402055,-8.512820512820518,-15.849056603773581
CRC,2019-02-28,DT SW,OK,13.17427385892116,-6.190885640584698,-39.016210173281166
CVNA,2019-02-28,DT SW,OK,5.313523042054902,-1.9690576652601877,-30.39280958721704
VNDA,2019-02-14,DT,OK,-34.354953670705626,-22.63754724905501,-14.125874125874116
