ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MUR,MUR,,1M+3M+6M,3,2016-07-05,2016-07-22,17,mid,4.0,3.0,2016-07-01; 2016-07-13; 2016-08-18,33.2; 33.35; 30.49,30.49,,
MUR,MUR,,1M+3M+6M,3,2019-09-24,2019-10-03,9,mid,2.0,2.0,2019-10-23; 2019-11-07,20.5; 25.275,25.275,,
MUR,MUR,,3M,1,2020-06-09,2020-06-17,8,mid,9.0,2.0,2020-06-08; 2020-07-16,18.405; 14.185,14.185,,
MUR,MUR,,1M,1,2021-03-04,2021-03-12,8,mid,7.0,1.0,2021-03-08,20.5288,20.5288,,
MUR,MUR,,1M+3M+6M,3,2021-05-12,2021-05-27,15,mid,8.0,3.0,2021-05-12; 2021-06-02; 2021-06-25,21.72; 24.9; 25.97,25.97,,
MUR,MUR,,1M+3M+6M,3,2022-01-21,2022-03-15,53,mid,4.0,4.0,2022-02-04; 2022-03-08; 2022-03-25; 2022-04-18,35.315; 39.41; 43.2; 44.63,44.63,,
MUX,MUX,,1M+3M+6M,3,2010-12-08,2011-01-12,35,small,4.0,2.0,2011-01-03; 2011-02-22,8.32; 7.64,7.64,,
MUX,MUX,,1M+3M+6M,3,2011-02-28,2011-04-29,60,small,8.0,5.0,2011-03-07; 2011-03-24; 2011-04-08; 2011-04-20; 2011-06-02,8.41; 9.0; 9.87; 9.66; 7.35,7.35,,
MUX,MUX,,1M+3M+6M,3,2011-07-27,2011-08-04,8,small,6.0,2.0,2011-07-25; 2011-09-08,7.18; 6.49,6.49,,
MUX,MUX,,1M+3M+6M,3,2012-01-19,2012-03-07,48,small,3.0,2.0,2012-01-31; 2012-04-02,61.7; 46.6,46.6,,
MUX,MUX,,1M+3M+6M,3,2012-09-21,2012-10-03,12,small,3.0,4.0,2012-09-21; 2012-10-01; 2012-10-05; 2012-11-01,48.7; 48.9; 49.0; 49.4,49.4,,
MUX,MUX,,1M+3M+6M,3,2016-06-17,2016-08-15,59,small,1.0,4.0,2016-06-16; 2016-07-11; 2016-08-18; 2016-09-22,37.65; 49.2; 48.1; 42.5,42.5,,
MUX,MUX,,1M+3M+6M,3,2017-01-05,2017-02-24,50,small,3.0,3.0,2017-01-17; 2017-01-24; 2017-02-08,40.2; 41.4; 44.3,44.3,,
MUX,MUX,,1M+3M+6M,3,2024-04-25,2024-05-10,15,small,4.0,2.0,2024-04-26; 2024-05-30,12.5; 12.45,12.45,,
MUX,MUX,,6M,1,2026-02-09,2026-03-03,22,small,10.0,1.0,2026-02-27,28.7,28.7,,
MVIS,MVIS,,1M+3M+6M,3,2020-06-08,2020-08-05,58,small,1.0,2.0,2020-06-22; 2020-07-17,28.5; 51.75,51.75,,
