date,ticker,adr14,adv30,mktcap,ret_1m,ret_3m,ret_6m,sma10_rising_diff,sma20_rising_diff
2005-01-03,MSGI^15,5.82,561317.54,24.33,0.03,0.35,0.99,-1.33,2.39
2005-01-03,VAL.1^17,1.26,10568599.28,2569.01,0.02,0.05,-0.01,0.7,2.09
2005-01-03,ROK,1.66,36085297.77,9107.29,0.08,0.24,0.33,2.29,2.56
2005-01-03,MLR,1.62,168761.57,126.33,0.01,0.26,0.15,0.37,0.79
2005-01-03,IONA^08,4.16,521859.06,175.42,-0.1,0.16,0.45,-0.01,0.18
2005-01-03,JJZ^07,2.87,2334081.66,662.1,-0.09,-0.11,0.08,-0.05,-0.77
2005-01-03,FDLB^24,7.82,41468.4,20.46,0.07,0.19,0.2,0.08,0.13
2005-01-03,SHECF,0.14,2266.0,17276.66,0.11,0.13,0.19,3.22,1.92
2005-01-03,STRT,1.46,182978.37,237.52,0.0,0.0,-0.06,-0.67,0.35
2005-01-03,MTXX^11,4.58,1408704.4,109.29,-0.18,0.08,0.26,-0.78,-1.86
2005-01-03,RHAYY^12,4.38,3393043.26,1964.85,0.07,0.58,0.94,-0.09,0.21
2005-01-03,EJTTF,0.0,2617.92,,-0.04,0.53,0.17,-0.15,0.21
2005-01-03,BPOP,1.56,7791022.77,7678.74,0.04,0.07,0.31,0.9,0.99
2005-01-03,RWT,1.83,15100012.5,1449.53,0.04,0.07,0.2,2.11,3.53
2005-01-03,CVV,5.0,5108.23,4.16,0.44,0.61,0.11,0.2,0.22
2005-01-03,BEAV^17,4.53,5395710.85,439.99,0.07,0.09,0.52,0.84,0.73
2005-01-03,CFSB.1^05,1.29,43862.47,48.69,0.0,0.36,0.41,-0.03,0.14
2005-01-03,CMA^26,1.17,45246971.83,10407.94,-0.03,0.03,0.14,1.33,-1.39
2005-01-03,EGP,1.37,2514415.4,806.46,0.0,0.12,0.14,0.77,0.89
2005-01-03,LADX,5.99,261358.5,0.5,0.03,-0.21,0.25,-0.03,0.13
2005-01-03,CSSV,1.33,1427.5,109.2,-0.08,-0.07,-0.07,-0.04,-0.15
2005-01-03,USAK^22,3.42,256980.34,158.74,0.31,0.39,0.39,1.29,3.1
2005-01-03,AMZN,2.71,326881675.27,18046.58,0.12,0.08,-0.15,2.57,1.87
2005-01-03,CRMT,3.16,1412302.41,296.97,0.02,0.09,0.23,1.58,0.41
2005-01-03,STRR.2^25,5.57,1274953.26,159.41,-0.08,-0.18,-0.08,0.39,-0.6
2005-01-03,PMID^09,4.96,55032.0,18.41,-0.03,-0.05,-0.11,-0.01,-0.05
2005-01-03,WFBI^18,0.0,0.0,,0.0,-0.05,-0.18,0.0,-0.05
2005-01-03,GDI.2^13,2.06,2862566.31,720.36,0.02,0.21,0.28,1.94,2.65
2005-01-03,BNS,1.28,1056768.69,34137.91,0.05,0.17,0.28,1.21,0.74
2005-01-03,ACGL,1.48,4945241.31,1344.35,-0.03,-0.02,-0.04,-0.18,-0.06
2005-01-03,IHG,2.01,1046383.57,5883.2,-0.14,-0.05,0.06,-0.98,-1.04
2005-01-03,WMAR^17,2.93,3196740.56,514.78,0.01,0.1,0.04,1.14,-0.13
2005-01-03,GWW,1.86,26868809.57,6001.23,0.05,0.12,0.17,3.57,2.99
2005-01-03,GRBS^17,0.0,749.58,42.52,0.17,-0.05,0.05,0.0,2.41
2005-01-03,EVHC^18,2.2,5437186.35,861.74,0.13,0.33,0.19,1.23,2.14
2005-01-03,3GENBB^07,0.29,1368.66,3.35,-0.11,-0.02,0.0,-0.08,-0.14
2005-01-03,SMTS.1^10,4.04,776575.11,156.18,0.06,0.19,-0.01,0.49,2.27
2005-01-03,IAL^07,1.8,192404.52,143.69,0.01,0.16,0.17,0.94,1.47
2005-01-03,CBNV^05,1.41,58324.58,183.0,0.05,0.06,0.33,1.25,1.06
2005-01-03,HACBY,0.0,154417.41,3647.44,0.05,0.1,0.13,2.87,2.25
2005-01-03,HALO,8.04,66895.2,87.35,-0.01,-0.06,-0.31,0.16,-0.22
2005-01-03,3MMBI^08,1.36,57894.35,127.54,-0.01,0.07,0.06,-0.33,2.5
2005-01-03,BHP,1.21,21202450.84,45151.45,-0.01,0.11,0.33,1.0,0.6
2005-01-03,NREB^07,1.1,98733.02,220.88,0.05,0.02,-0.01,0.54,0.86
2005-01-03,NASB,2.36,214494.9,337.88,0.01,0.06,0.01,0.27,-0.15
2005-01-03,CFFC^13,0.36,14927.7,46.13,0.04,0.15,0.15,0.62,0.8
2005-01-03,DXT^05,1.52,212326.57,22.26,0.16,0.83,0.95,0.57,2.0
2005-01-03,HBIA,0.0,0.0,188.84,0.01,0.02,0.05,0.45,0.27
2005-01-03,AGI,3.15,887490.55,704.7,-0.16,-0.12,-0.22,-0.04,-0.42
2005-01-03,PRE.1^16,1.34,15195094.82,3285.21,0.0,0.1,0.08,0.46,2.04
2005-01-03,MEH^08,3.99,226145.47,52.86,-0.08,-0.09,-0.26,-0.12,-0.28
2005-01-03,AVNR^15,3.35,1479423.02,324.99,-0.01,0.2,1.03,0.14,-0.08
2005-01-03,NXST,2.99,332343.2,261.51,0.1,0.05,-0.18,0.47,0.47
2005-01-03,GRLY^12,0.0,1494.0,213.89,-0.07,4.0,7.33,0.0,-0.03
2005-01-03,CVBG^07,2.24,57255.42,149.19,0.01,-0.02,-0.13,-0.01,-0.24
2005-01-03,HAIN,2.23,4241926.44,753.4,0.07,0.15,0.15,0.75,0.98
2005-01-03,MDTO^15,0.27,842.5,10.47,-0.12,0.13,,-0.12,-0.2
2005-01-03,UBMT^07,0.56,16033.48,58.48,-0.02,-0.03,0.04,-0.19,0.24
2005-01-03,YORW,2.21,140021.71,133.35,0.02,0.17,0.12,0.35,0.92
2005-01-03,DSPG^21,2.38,4105001.63,624.73,-0.05,-0.01,-0.13,-0.6,-0.06
2005-01-03,JNP^18,6.95,545413.6,110.52,0.47,-0.12,-0.19,0.19,0.32
2005-01-03,JEF.3^13,2.16,14056719.61,2398.02,-0.06,0.13,0.33,-0.18,-1.85
2005-01-03,LB.1^11,5.72,1408217.96,190.45,0.03,0.49,0.57,-0.4,1.77
2005-01-03,GCGC^08,6.51,322.77,26.1,0.01,-0.01,0.04,0.06,0.38
2005-01-03,DBI,2.29,499545.83,717.75,-0.03,-0.05,-0.02,0.1,0.17
2005-01-03,SGB^20,0.58,9625.18,74.32,-0.02,-0.02,0.13,-0.63,-0.36
2005-01-03,SNY,1.09,24928800.49,54727.78,0.05,0.08,0.25,1.73,0.82
2005-01-03,SHDBQ^16,10.11,31556.27,10.6,0.74,0.42,-0.07,0.96,0.72
2005-01-03,PCTI^23,3.14,920141.45,164.5,-0.02,-0.08,-0.3,-0.62,0.42
2005-01-03,PSPT^08,4.56,1364282.23,21.28,0.21,0.5,,1.25,-0.13
2005-01-03,STC,2.4,3281342.99,753.96,-0.09,-0.02,0.24,-1.19,-0.22
2005-01-03,QTWWQ^19,3.45,3845269.89,190.91,-0.01,0.05,-0.04,0.08,-0.92
2005-01-03,PYXSQ^20,1.79,1034948.5,303.34,-0.01,0.12,0.19,0.04,0.06
2005-01-03,SVAFF^17,3.93,9487.82,10.83,0.03,0.33,0.29,-0.11,-0.32
2005-01-03,BKOR,2.57,272759.6,19.4,0.03,0.09,0.05,0.45,0.44
2005-01-03,NTUS^22,3.55,899889.3,136.66,-0.02,0.08,0.16,-0.12,0.78
2005-01-03,XEC^21,2.4,10970827.59,1576.67,-0.08,0.03,0.18,0.91,-1.16
2005-01-03,ERS^17,4.26,84142.38,39.55,-0.1,0.18,0.08,0.06,0.21
2005-01-03,ELDO^16,0.0,362.85,0.0,0.41,-0.05,0.27,0.11,0.49
2005-01-03,INUV,6.06,839656.17,162.6,0.46,0.83,0.62,1.38,1.72
2005-01-03,IMPC.2^05,4.08,780986.32,203.47,0.22,0.5,0.41,2.84,2.8
2005-01-03,SRGG^19,6.47,35424.48,50.61,-0.11,2.13,2.51,0.25,-0.39
2005-01-03,GDEN^26,4.53,2488517.95,379.44,0.11,0.53,0.45,1.48,2.0
2005-01-03,ORCL,2.29,634312763.0,70026.88,0.04,0.11,0.18,-0.03,0.72
2005-01-03,PRSI,0.0,4510.0,18.06,-0.07,0.03,0.03,-0.76,0.7
2005-01-03,RGC.1^18,1.56,7755807.08,2994.66,0.0,0.07,0.18,-0.45,0.34
2005-01-03,TSMA.^05,2.4,696015.76,1176.25,0.03,0.53,0.37,1.89,0.75
2005-01-03,CSCX^10,4.38,289240.0,191.97,0.01,0.16,0.06,0.07,0.18
2005-01-03,AMK.2^07,3.47,75313.43,83.09,-0.02,0.07,0.13,0.28,-0.63
2005-01-03,FSBC.1^06,0.24,9000.87,85.76,0.02,0.08,0.08,0.1,0.98
2005-01-03,NVAX,5.16,495719.12,128.95,-0.07,-0.03,-0.39,-0.04,0.12
2005-01-03,MCM.1^06,0.58,30727.87,379.11,-0.01,-0.02,0.0,0.61,-0.85
2005-01-03,FARM^26,1.15,377807.34,389.66,-0.08,-0.1,-0.09,-0.6,-2.1
2005-01-03,CCBL^07,2.43,2509264.84,400.33,0.03,0.12,-0.03,0.32,0.59
2005-01-03,EAT,1.16,21829289.78,3150.44,0.0,0.12,0.01,0.64,-0.05
2005-01-03,BCST^14,2.88,10304.44,66.35,0.0,-0.43,-0.46,0.02,-0.55
2005-01-03,OO^07,2.64,4925960.13,867.7,-0.03,0.04,-0.03,0.39,-0.45
2005-01-03,EASY.1^07,5.05,290028.12,63.61,0.0,0.16,0.05,-0.03,0.0
2005-01-03,Q.2^11,2.62,31849083.73,8066.32,0.09,0.25,0.22,0.26,0.46
2005-01-03,TTWO,2.44,54825860.78,1580.84,-0.01,0.02,0.2,0.03,-0.39
2005-01-03,3MSTI^07,0.22,66921.69,274.0,-0.03,-0.1,-0.03,-0.08,-0.29
2005-01-03,LNC,1.63,36332136.26,8150.19,-0.03,-0.04,0.01,-0.15,0.32
2005-01-03,HEDYY^15,2.42,44525.2,146.54,0.03,0.28,0.18,0.27,0.3
2005-01-03,HOWWY^19,0.0,4188.54,2269.44,-0.03,0.22,0.26,0.07,-0.03
2005-01-03,LTONY^17,5.17,3925211.51,211.52,-0.15,-0.05,-0.2,-1.28,0.12
2005-01-03,ATMI.1^14,3.09,7498746.55,707.24,-0.08,0.0,-0.13,-1.33,-0.12
2005-01-03,NBN,1.06,63599.27,58.08,0.03,0.22,0.2,0.19,1.52
2005-01-03,ATTGQ^11,,21857.08,57.2,,,,,
2005-01-03,NWK^12,3.75,1074119.24,240.13,-0.03,0.38,0.24,0.24,0.72
2005-01-03,RIGL,3.51,8769057.25,455.88,-0.09,-0.06,0.55,-0.07,-1.87
2005-01-03,SSUR^24,0.0,401.04,61.02,0.0,-0.11,-0.02,0.0,0.0
2005-01-03,THO,2.49,11775206.66,2105.46,0.07,0.31,0.11,0.68,3.26
2005-01-03,FLOW.1^14,6.58,166497.08,47.47,0.06,-0.03,-0.11,0.14,-0.05
2005-01-03,SCIL^20,3.84,87998.56,99.63,0.1,0.07,-0.05,0.31,0.3
2005-01-03,SGSOY,0.0,0.0,5366.84,0.07,0.26,,0.19,0.29
2005-01-03,SSL,1.62,4723721.29,13249.95,0.11,0.16,0.41,1.78,0.16
2005-01-03,ROG,1.86,4261805.14,709.21,-0.11,-0.01,-0.37,-3.17,-2.32
2005-01-03,XOM,1.42,642859175.97,330693.4,-0.01,0.03,0.13,0.94,0.28
2005-01-03,ATSI^10,4.37,404201.22,143.36,0.14,0.22,0.17,0.4,0.36
2005-01-03,FWDI,7.67,665731.46,26.03,0.51,0.81,0.56,0.66,1.21
2005-01-03,KISB,0.42,15284.0,,-0.04,-0.04,-0.04,-1.9,-1.95
2005-01-03,MMAC^21,1.33,1239860.74,951.11,0.01,0.08,0.18,0.62,0.46
2005-01-03,SWKH^26,5.47,626650.36,55.38,0.15,0.09,-0.11,-0.02,0.27
2005-01-03,BYBI^07,3.31,123806.09,35.66,0.14,0.52,0.27,0.44,1.32
2005-01-03,GRMN,2.97,39979277.87,6578.32,0.01,0.35,0.73,4.19,3.6
2005-01-03,SU,2.07,30983917.5,32102.18,0.01,0.06,0.31,1.93,-0.06
2005-01-03,KERX^18,4.94,2531943.02,356.75,-0.09,-0.03,-0.05,-0.88,-0.44
2005-01-03,EMAKQ^11,2.26,48500.43,57.59,-0.01,0.03,-0.25,0.18,-0.15
