ticker,revised_ticker,matched_qualifying_date,streak_start,streak_end,streak_still_active,hh_date,hh_price,pivot_kind,pivot_date,confirmed_date,suggested_resistance,first_qualifying_date,is_valid_flag,resistance_override,status
AAMRQ^13,AAMRQ,,6/7/2010,6/9/2010,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,1/14/2013,1/17/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,1/25/2013,1/25/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,2/22/2013,3/11/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,3/15/2013,3/19/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,10/9/2013,10/10/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,10/30/2013,11/29/2013,FALSE,,,,,,,,,,no_daily_bars
AAOI,AAOI,5/22/2017,,,,5/12/2017,67.01,HL,5/18/2017,5/22/2017,67.01,5/12/2017,,,OK
AAOI,AAOI,5/26/2017,,,,5/23/2017,71.7,HL,5/25/2017,5/30/2017,71.7,5/12/2017,,,OK
AAOI,AAOI,5/26/2017,,,,6/6/2017,75.59,LH,6/19/2017,6/21/2017,65.23,5/12/2017,,,OK
AAOI,AAOI,5/26/2017,,,,6/6/2017,75.59,LH,6/23/2017,6/27/2017,67.18,5/22/2017,,,OK
AAOI,AAOI,5/26/2017,,,,6/6/2017,75.59,HL,6/28/2017,6/30/2017,67.18,5/22/2017,,,OK
AAOI,AAOI,5/26/2017,,,,6/6/2017,75.59,LH,7/3/2017,7/6/2017,63.75,5/22/2017,,,OK
AAOI,AAOI,5/26/2017,,,,6/6/2017,75.59,HL,7/6/2017,7/10/2017,63.75,5/26/2017,,,OK
AAOI,AAOI,8/3/2017,,,,7/27/2017,103.41,HL,8/7/2017,8/9/2017,103.41,7/28/2017,,,OK
AAOI,AAOI,8/3/2017,,,,7/27/2017,103.41,HL,8/10/2017,8/14/2017,103.41,7/28/2017,,,OK
AAOI,AAOI,8/3/2017,,,,7/27/2017,103.41,LH,8/15/2017,8/17/2017,71.45,7/28/2017,,,OK
AAOI,AAOI,8/3/2017,,,,7/27/2017,103.41,LH,8/24/2017,8/28/2017,64.9,7/28/2017,,,OK
AAOI,AAOI,8/3/2017,,,,7/27/2017,103.41,LH,9/7/2017,9/11/2017,59.25,7/28/2017,,,OK
AAOI,AAOI,8/3/2017,,,,7/27/2017,103.41,HL,9/8/2017,9/12/2017,59.25,7/31/2017,,,OK
AAOI,AAOI,7/18/2023,,,,7/13/2023,11.48,HL,7/18/2023,7/20/2023,11.48,7/6/2023,,,OK
AAOI,AAOI,7/25/2023,,,,7/13/2023,11.48,LH,7/25/2023,7/27/2023,9,7/6/2023,,,OK
AAOI,AAOI,8/7/2023,,,,8/15/2023,15.9,HL,8/18/2023,8/22/2023,15.9,7/10/2023,,,OK
AAOI,AAOI,8/30/2023,,,,8/24/2023,16.26,HL,8/28/2023,8/30/2023,16.26,7/17/2023,,,OK
AAOI,AAOI,8/30/2023,,,,8/24/2023,16.26,LH,8/31/2023,9/5/2023,15.78,7/25/2023,,,OK
AAOI,AAOI,8/30/2023,,,,8/24/2023,16.26,LH,9/18/2023,9/20/2023,10.24,8/7/2023,,,OK
AAOI,AAOI,8/30/2023,,,,8/24/2023,16.26,HL,9/21/2023,9/25/2023,10.24,8/30/2023,,,OK
AAOI,AAOI,11/29/2023,,,,11/20/2023,14.63,HL,11/27/2023,11/29/2023,14.63,11/16/2023,,,OK
AAOI,AAOI,12/4/2023,,,,11/20/2023,14.63,HL,11/30/2023,12/4/2023,14.63,11/16/2023,,,OK
AAOI,AAOI,12/4/2023,,,,12/19/2023,24.08,HL,12/21/2023,12/26/2023,24.08,11/16/2023,,,OK
AAOI,AAOI,12/4/2023,,,,12/19/2023,24.08,LH,12/26/2023,12/28/2023,23.66,11/16/2023,,,OK
AAOI,AAOI,12/4/2023,,,,12/19/2023,24.08,LH,1/10/2024,1/12/2024,22.85,11/28/2023,,,OK
AAOI,AAOI,9/9/2024,,,,9/4/2024,13.65,HL,9/6/2024,9/10/2024,13.65,9/4/2024,,,OK
AAOI,AAOI,9/12/2024,,,,9/12/2024,14.99,HL,9/18/2024,9/20/2024,14.99,9/4/2024,,,OK
AAOI,AAOI,9/12/2024,,,,10/18/2024,20.34,HL,10/23/2024,10/25/2024,20.34,9/12/2024,,,OK
AAOI,AAOI,12/23/2025,,,,12/23/2025,41.96,HL,12/31/2025,1/5/2026,41.96,12/23/2025,,,OK
AAOI,AAOI,12/23/2025,,,,12/23/2025,41.96,LH,1/5/2026,1/7/2026,41.35,12/23/2025,,,OK
AAOI,AAOI,12/23/2025,,,,12/23/2025,41.96,LH,1/16/2026,1/21/2026,40.05,12/23/2025,,,OK
AAOI,AAOI,12/23/2025,,,,1/22/2026,41.39,HL,1/26/2026,1/28/2026,40.05,12/23/2025,,,OK
AAOI,AAOI,3/19/2026,,,,3/11/2026,128.96,HL,3/17/2026,3/19/2026,128.96,2/25/2026,,,OK
AAOI,AAOI,3/24/2026,,,,3/11/2026,128.96,HL,3/20/2026,3/24/2026,128.96,2/25/2026,,,OK
AAOI,AAOI,3/27/2026,,,,3/11/2026,128.96,LH,3/25/2026,3/27/2026,118.75,2/25/2026,,,OK
AAWW^23,AAWW,,4/14/2020,4/14/2020,FALSE,,,,,,,,,,no_pivot_yet
ABAT,ABAT,,1/4/2021,1/25/2021,FALSE,,,,,,,,,,no_pivot_yet
ABAT,ABAT,,2/5/2021,2/8/2021,FALSE,,,,,,,,,,no_pivot_yet
ABAT,ABAT,1/21/2025,,,,12/27/2024,4.11,LH,1/16/2025,1/21/2025,2.25,1/21/2025,,,OK
ABAT,ABAT,1/21/2025,,,,12/27/2024,4.11,LH,1/31/2025,2/4/2025,1.65,1/21/2025,,,OK
ABAT,ABAT,1/21/2025,,,,12/27/2024,4.11,LH,2/14/2025,2/19/2025,1.3892,1/21/2025,,,OK
ABAT,ABAT,1/21/2025,,,,12/27/2024,4.11,LH,3/3/2025,3/5/2025,1.07,1/21/2025,,,OK
ABAT,ABAT,7/25/2025,,,,7/25/2025,3.89,HL,8/1/2025,8/5/2025,3.89,7/24/2025,,,OK
ABAT,ABAT,7/25/2025,,,,7/25/2025,3.89,LH,8/4/2025,8/6/2025,2.65,7/24/2025,,,OK
ABAT,ABAT,7/25/2025,,,,8/15/2025,2.87,HL,8/20/2025,8/22/2025,2.87,7/24/2025,,,OK
ABAT,ABAT,7/25/2025,,,,8/15/2025,2.87,LH,8/26/2025,8/28/2025,2.82,7/24/2025,,,OK
ABAT,ABAT,7/25/2025,,,,8/15/2025,2.87,HL,9/2/2025,9/4/2025,2.82,7/24/2025,,,OK
ABAX^18,ABAX,,11/12/2007,11/12/2007,FALSE,,,,,,,,,,no_pivot_yet
ABCL,ABCL,8/26/2026,,,,8/19/2026,12.15,HL,8/24/2026,8/26/2026,12.15,8/12/2026,,,OK
ABEO,ABEO,,5/11/2015,6/2/2015,FALSE,,,,,,,,,,no_pivot_yet
ABEO,ABEO,,4/13/2018,4/13/2018,FALSE,,,,,,,,,,no_pivot_yet
ABEO,ABEO,9/13/2017,,,,9/5/2017,381.125,HL,9/13/2017,9/15/2017,381.125,9/8/2017,,,OK
ABEO,ABEO,9/13/2017,,,,9/18/2017,447.5,HL,9/25/2017,9/27/2017,447.5,9/8/2017,,,OK
ABEO,ABEO,9/13/2017,,,,9/29/2017,472.5,HL,10/9/2017,10/11/2017,472.5,9/8/2017,,,OK
ABEO,ABEO,9/13/2017,,,,10/11/2017,568.75,LH,10/17/2017,10/19/2017,458.75,9/8/2017,,,OK
ABEO,ABEO,9/13/2017,,,,10/11/2017,568.75,LH,10/23/2017,10/25/2017,510,9/11/2017,,,OK
ABG,ABG,5/16/2022,,,,5/4/2022,201.05,HL,5/12/2022,5/16/2022,201.05,5/10/2022,,,OK
ABG,ABG,5/17/2022,,,,5/4/2022,201.05,LH,5/17/2022,5/19/2022,194.639,5/10/2022,,,OK
ABKFQ^13,ABKFQ,,7/30/2008,9/15/2008,FALSE,,,,,,,,,,no_daily_bars
ABKFQ^13,ABKFQ,,4/12/2010,5/10/2010,FALSE,,,,,,,,,,no_daily_bars
ABKFQ^13,ABKFQ,,10/19/2010,10/27/2010,FALSE,,,,,,,,,,no_daily_bars
ABMD^22,ABMD,8/26/2015,,,,8/13/2015,110.6758,HL,8/24/2015,8/26/2015,110.6758,8/24/2015,,,OK
ABOS,ABOS,10/18/2022,,,,9/30/2022,10.97,HL,10/14/2022,10/18/2022,10.97,9/28/2022,,,OK
ABOS,ABOS,10/25/2022,,,,9/30/2022,10.97,HL,10/21/2022,10/25/2022,10.97,9/28/2022,,,OK
ABOS,ABOS,10/26/2022,,,,9/30/2022,10.97,LH,10/24/2022,10/26/2022,8.0357,9/28/2022,,,OK
ABSI,ABSI,2/16/2022,,,,2/14/2022,9.32,HL,2/15/2022,2/17/2022,9.32,2/11/2022,,,OK
ABSI,ABSI,2/16/2022,,,,2/14/2022,9.32,HL,2/24/2022,2/28/2022,9.32,2/11/2022,,,OK
ABSI,ABSI,2/16/2022,,,,3/3/2022,9.68,HL,3/8/2022,3/10/2022,9.68,2/11/2022,,,OK
ABSI,ABSI,2/16/2022,,,,3/3/2022,9.68,LH,3/11/2022,3/15/2022,9.38,2/11/2022,,,OK
ABSI,ABSI,2/16/2022,,,,3/3/2022,9.68,LH,3/18/2022,3/22/2022,9.25,2/11/2022,,,OK
ABSI,ABSI,2/16/2022,,,,3/3/2022,9.68,LH,3/30/2022,4/1/2022,8.98,2/16/2022,,,OK
ABSI,ABSI,7/6/2026,,,,6/29/2026,12.055,HL,7/1/2026,7/6/2026,12.055,6/24/2026,,,OK
ABT,ABT,10/20/2008,,,,9/29/2008,60.78,HL,10/16/2008,10/20/2008,57.16,10/20/2008,,,OK
ABTC,ABTC,,5/19/2025,5/23/2025,FALSE,,,,,,,,,,no_daily_bars
ABTS,ABTS,,5/20/2021,6/10/2021,FALSE,,,,,,,,,,no_daily_bars
ABTS,ABTS,,6/30/2021,7/1/2021,FALSE,,,,,,,,,,no_daily_bars
ABTS,ABTS,,7/8/2021,7/22/2021,FALSE,,,,,,,,,,no_daily_bars
ABUS,ABUS,,8/8/2014,8/22/2014,FALSE,,,,,,,,,,no_pivot_yet
ABUS,ABUS,,1/14/2015,2/4/2015,FALSE,,,,,,,,,,no_pivot_yet
ABUS,ABUS,,2/10/2015,2/10/2015,FALSE,,,,,,,,,,no_pivot_yet
ABUS,ABUS,7/30/2020,,,,7/24/2020,9.02,HL,7/29/2020,7/31/2020,9.02,7/23/2020,,,OK
ABUS,ABUS,7/30/2020,,,,7/24/2020,9.02,LH,7/30/2020,8/3/2020,4.495,7/23/2020,,,OK
ABUS,ABUS,7/30/2020,,,,8/6/2020,4.8853,LH,8/17/2020,8/19/2020,3.58,7/23/2020,,,OK
ABUS,ABUS,7/30/2020,,,,8/6/2020,4.8853,LH,9/9/2020,9/11/2020,2.68,7/30/2020,,,OK
ABUS,ABUS,12/13/2021,,,,12/1/2021,6.5,LH,12/10/2021,12/14/2021,4.67,12/13/2021,,,OK
ABUS,ABUS,12/21/2021,,,,12/1/2021,6.5,HL,12/17/2021,12/21/2021,4.67,12/13/2021,,,OK
ABUS,ABUS,12/22/2021,,,,12/1/2021,6.5,LH,12/20/2021,12/22/2021,4.5,12/13/2021,,,OK
ABVEF,ABVEF,10/24/2025,,,,10/16/2025,6.56,HL,10/22/2025,10/24/2025,6.56,10/16/2025,,,OK
ABVEF,ABVEF,10/28/2025,,,,10/16/2025,6.56,LH,10/24/2025,10/28/2025,5.86,10/16/2025,,,OK
