ticker,chart_symbol,former_symbols,n_streaks,first_seen,last_seen,streak_spans,windows_per_streak,any_triple,mktcap_bucket,best_rank,total_flagpoles,data_warning,reviewed,notes
AFRM,AFRM,,10,2021-06-18,2025-09-18,2021-06-18..2021-07-07; 2021-08-17..2021-11-11; 2022-07-21..2022-08-19; 2023-01-26..2023-02-09; 2023-04-26..2023-09-26; 2023-11-14..2024-01-10; 2024-09-03..2024-12-19; 2025-02-19..2025-02-28; 2025-05-09..2025-05-27; 2025-08-19..2025-09-18,1M+3M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,large_plus,1,42,,,
AFSI^18,AFSI,,1,2014-10-29,2014-11-13,2014-10-29..2014-11-13,1M+3M+6M,True,mid,1,3,,,
AF^17,AF,,2,2009-03-25,2009-07-14,2009-03-25..2009-03-27; 2009-07-10..2009-07-14,1M; 1M,False,small,3,4,,,
AG,AG,,15,2011-03-11,2026-03-12,2011-03-11..2011-04-25; 2011-07-27..2011-08-04; 2013-08-21..2013-09-05; 2015-01-06..2015-02-02; 2016-03-07..2016-08-19; 2017-01-24..2017-01-26; 2018-10-25..2018-10-30; 2018-12-31..2019-01-17; 2019-07-31..2019-09-11; 2020-07-30..2020-08-05; 2022-10-07..2022-11-21; 2023-04-05..2023-04-10; 2023-10-31..2023-11-01; 2024-04-08..2024-05-23; 2025-12-11..2026-03-12,1M+3M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,47,,,
AGCO,AGCO,,3,2007-11-12,2008-08-14,2007-11-12..2007-11-21; 2008-04-29..2008-05-01; 2008-08-06..2008-08-14,1M+3M+6M; 6M; 3M,True,mid,2,6,,,
AGEN,AGEN,,9,2009-06-08,2026-09-08,2009-06-08..2009-06-25; 2015-01-13..2015-02-02; 2015-04-30..2015-07-27; 2020-09-10..2020-09-14; 2021-05-18..2021-05-20; 2022-07-07..2022-07-28; 2022-10-25..2022-12-02; 2024-05-15..2024-06-10; 2026-07-13..2026-09-08,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M; 1M; 6M; 1M; 1M+3M+6M,True,small,1,16,,,
AGI,AGI,,11,2008-03-20,2026-03-16,2008-03-20..2008-03-24; 2009-10-14..2009-12-15; 2013-06-14..2013-06-18; 2014-12-03..2014-12-04; 2015-01-20..2015-02-02; 2016-03-18..2016-07-20; 2017-01-06..2017-01-26; 2019-01-04..2019-01-08; 2019-08-14..2019-08-22; 2020-04-20..2020-05-15; 2026-03-10..2026-03-16,1M; 1M+3M+6M; 6M; 3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 3M+6M; 1M+3M+6M,True,small,1,27,,,
AGIG,AGIG,,1,2022-06-08,2022-06-24,2022-06-08..2022-06-24,1M+6M,False,small,1,2,,,
AGIO,AGIO,,11,2014-02-20,2024-10-02,2014-02-20..2014-05-02; 2014-06-18..2014-07-02; 2014-08-22..2015-01-30; 2016-04-18..2016-06-13; 2016-10-14..2016-12-02; 2017-02-28..2017-03-09; 2017-06-29..2017-06-30; 2018-01-16..2018-02-26; 2022-09-06..2022-09-20; 2024-06-13..2024-06-21; 2024-09-27..2024-10-02,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M; 1M+3M+6M; 6M,True,small,1,29,,,
AGIXQ^09,AGIXQ,AGIX,3,2005-05-17,2007-02-26,2005-05-17..2005-06-28; 2005-12-27..2006-01-13; 2007-02-05..2007-02-26,1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,2,5,,,
AGL,AGL,,9,2021-06-15,2026-07-28,2021-06-15..2021-07-06; 2022-01-04..2022-01-11; 2022-06-24..2022-08-12; 2023-03-13..2023-04-19; 2023-08-11..2023-08-17; 2024-05-30..2024-08-05; 2025-01-22..2025-02-10; 2025-02-21..2025-04-25; 2026-05-07..2026-07-28,1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M,True,mid,1,28,,,
AGN.2^15,AGN,,1,2009-03-30,2009-04-08,2009-03-30..2009-04-08,1M+3M+6M,True,large_plus,5,3,,,
AGNT,AGNT,,7,2020-08-07,2024-09-24,2020-08-07..2020-10-26; 2020-12-08..2021-02-26; 2021-08-06..2021-08-25; 2023-01-30..2023-02-13; 2023-06-12..2023-08-15; 2024-07-31..2024-08-01; 2024-09-18..2024-09-24,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 3M; 1M+3M+6M,True,mid,2,16,,,
AGO,AGO,,8,2007-12-13,2010-11-02,2007-12-13..2007-12-24; 2008-02-27..2008-03-17; 2008-09-10..2008-09-12; 2008-12-11..2008-12-15; 2009-04-06..2009-06-05; 2009-08-10..2009-09-11; 2009-11-23..2009-12-07; 2010-10-25..2010-11-02,1M+3M+6M; 1M+3M+6M; 1M; 1M; 1M+3M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,16,,,
AGPU,AGPU,,1,2026-06-01,2026-06-03,2026-06-01..2026-06-03,3M,False,small,4,1,,,
AGP^12,AGP,,4,2006-11-08,2009-02-20,2006-11-08..2006-11-16; 2007-08-14..2007-08-22; 2008-11-13..2008-11-18; 2008-12-22..2009-02-20,1M+3M+6M; 1M; 1M; 3M+6M,True,small,2,10,,,
AGRO,AGRO,,2,2022-03-23,2026-05-04,2022-03-23..2022-03-31; 2026-03-19..2026-05-04,3M; 1M+3M+6M,True,small,4,6,,,
AGRX^24,AGRX,,2,2019-11-06,2020-02-24,2019-11-06..2019-12-16; 2020-02-11..2020-02-24,1M+3M+6M; 1M+3M+6M,True,small,3,3,,,
AGTC^22,AGTC,,1,2020-01-09,2020-02-03,2020-01-09..2020-02-03,1M+3M+6M,True,small,3,2,,,
AGTI^24,AGTI,,1,2021-05-24,2021-07-02,2021-05-24..2021-07-02,1M+3M+6M,True,mid,1,2,,,
AGU^18,AGU,,5,2007-11-12,2009-02-25,2007-11-12..2007-11-15; 2008-03-10..2008-03-13; 2008-04-28..2008-05-07; 2008-07-02..2008-07-07; 2009-01-09..2009-02-25,3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M,True,large_plus,1,11,,,
AGX,AGX,,8,2024-11-15,2026-04-16,2024-11-15..2024-12-05; 2025-01-23..2025-01-29; 2025-04-11..2025-05-01; 2025-06-09..2025-06-20; 2025-08-01..2025-09-05; 2025-11-19..2025-11-28; 2026-02-11..2026-02-13; 2026-03-19..2026-04-16,3M+6M; 1M+6M; 1M+3M+6M; 1M+3M+6M; 6M; 1M+3M; 1M; 1M+3M+6M,True,mid,3,20,,,
AHCO,AHCO,,2,2020-10-23,2022-08-10,2020-10-23..2020-11-06; 2022-08-09..2022-08-10,1M; 3M,False,mid,7,4,,,
AHMA,AHMA,,2,2025-12-16,2026-07-09,2025-12-16..2026-02-03; 2026-06-23..2026-07-09,1M+3M; 1M,False,small,1,3,,,
AHT,AHT,,1,2021-05-18,2021-06-16,2021-05-18..2021-06-16,1M+3M,False,small,5,1,,,
AI,AI,,6,2023-01-31,2024-12-20,2023-01-31..2023-04-14; 2023-05-26..2023-08-08; 2023-11-07..2023-12-06; 2024-02-29..2024-03-06; 2024-06-11..2024-06-12; 2024-11-22..2024-12-20,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M; 1M+3M,True,mid,1,17,,,
AIFA,AIFA,,2,2020-06-03,2021-03-24,2020-06-03..2020-06-04; 2021-03-23..2021-03-24,1M; 1M,False,small,13,3,,,
AIFF,AIFF,,1,2025-02-18,2025-02-26,2025-02-18..2025-02-26,1M+3M,False,small,3,1,,,
AIG,AIG,,4,2009-03-30,2011-01-19,2009-03-30..2009-05-12; 2009-08-18..2009-10-12; 2010-03-08..2010-05-05; 2010-12-28..2011-01-19,1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,11,,,
AIIO,AIIO,,3,2021-12-14,2026-07-16,2021-12-14..2022-01-21; 2025-09-25..2025-10-07; 2026-05-18..2026-07-16,1M+3M+6M; 1M+6M; 1M+3M,True,small,1,6,,,
AIM,AIM,,3,2009-06-01,2020-07-21,2009-06-01..2009-07-09; 2020-03-16..2020-04-17; 2020-06-01..2020-07-21,1M+3M+6M; 3M+6M; 6M,True,small,1,6,,,
AIMT^20,AIMT,,5,2017-11-01,2020-01-29,2017-11-01..2017-11-09; 2018-11-05..2018-11-16; 2019-01-17..2019-01-22; 2019-09-16..2019-09-27; 2020-01-17..2020-01-29,1M+3M+6M; 1M+3M+6M; 3M+6M; 6M; 6M,True,small,5,9,,,
AIP,AIP,,1,2026-05-07,2026-07-02,2026-05-07..2026-07-02,3M+6M,False,small,7,4,,,
AIPC^10,AIPC,,1,2009-01-07,2009-04-15,2009-01-07..2009-04-15,1M+3M+6M,True,small,1,6,,,
AIR,AIR,,1,2009-01-26,2009-02-10,2009-01-26..2009-02-10,3M+6M,False,small,6,1,,,
AIRE,AIRE,,1,2025-09-15,2025-09-19,2025-09-15..2025-09-19,1M+3M,False,small,3,2,,,
AIRS,AIRS,,1,2026-03-25,2026-04-10,2026-03-25..2026-04-10,1M,False,small,2,1,,,
AIRT,AIRT,,1,2005-02-15,2005-02-25,2005-02-15..2005-02-25,1M+3M+6M,True,small,3,3,,,
AISP,AISP,,1,2024-03-11,2024-04-02,2024-03-11..2024-04-02,1M,False,small,1,1,,,
AIV,AIV,,3,2008-01-31,2010-05-17,2008-01-31..2008-02-07; 2008-08-01..2008-08-12; 2010-05-06..2010-05-17,1M+3M+6M; 3M+6M; 1M+3M+6M,True,mid,3,6,,,
AIZ,AIZ,,1,2008-12-23,2009-01-21,2008-12-23..2009-01-21,1M,False,mid,4,2,,,
AKAM,AKAM,,6,2006-07-10,2026-05-27,2006-07-10..2006-08-14; 2007-10-11..2007-10-26; 2008-02-20..2008-03-12; 2009-02-17..2009-04-08; 2010-05-18..2010-05-26; 2026-05-18..2026-05-27,1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M,True,mid,1,13,,,
