IPO Only
2025-07-01

Ticker,Name,Start,End,Pct,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
ASTS,"AST Spacemobile, Inc.",45.71,88.86,94.40,83.96,Telecommunications,N/A,16665.91,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RKLB,Rocket Lab Corp.,35.68,101.65,184.89,83.58,Industrials,N/A,16046.43,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BSY,"Bentley Systems, Inc.",53.72,29.89,-44.36,83.50,Technology,N/A,15935.60,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CRDO,Credo Technology Group Holding Ltd.,89.37,271.95,204.30,83.29,Technology,N/A,15635.18,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RIVN,"Rivian Automotive, Inc.",12.87,17.35,34.81,83.12,Consumer Cyclicals,N/A,15380.10,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
MNDY,monday.com Ltd.,299.86,72.39,-75.86,83.09,Technology,N/A,15354.51,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SMMT,"Summit Therapeutics, Inc.",22.62,14.57,-35.59,83.06,Healthcare,N/A,15191.43,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
MBLY,"Mobileye Global, Inc.",18.91,9.68,-48.80,82.86,Technology,N/A,14900.95,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ALAB,"Astera Labs, Inc.",88.57,483.02,445.35,82.83,Technology,N/A,14759.21,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ULS,"UL Solutions, Inc.",70.40,101.86,44.69,82.55,Business Services,N/A,14442.50,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
TLN,Talen Energy Corp.,276.27,384.26,39.09,81.96,Utilities,N/A,13691.13,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SN,"SharkNinja, Inc.",106.36,152.27,43.16,81.88,Consumer Non-Cyclicals,N/A,13503.85,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SOLV,Solventum Corp.,78.25,77.15,-1.41,81.55,Healthcare,N/A,13054.80,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
YMM,"Full Truck Alliance Co., Ltd.",11.87,8.12,-31.57,80.78,Industrials,N/A,12352.01,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ACI,"Albertsons Cos., Inc.",21.25,13.53,-36.34,80.60,Consumer Non-Cyclicals,N/A,12200.14,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CNM,"Core & Main, Inc.",61.84,48.25,-21.98,80.37,Industrials,N/A,11991.91,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
DRS,"Leonardo DRS, Inc.",44.91,42.67,-4.99,80.24,Industrials,N/A,11908.44,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CART,"Maplebear, Inc.",46.08,47.35,2.76,80.01,Consumer Services,N/A,11696.56,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
